,Job Title,Company,Location,Salary,Posted Date,Job Description,Company URL
0,Java Developer,CVS Health,Texas,"$60,000 - $128,700 a year",2022-10-02,"
 As a Senior Analyst Application Developer, you are responsible for developing and maintaining software applications critical to the operations of CVS Health by incorporating peripheral knowledge of other CVS Health applications and related technologies into the analysis and design of complex solutions.
 
 Additional responsibilities of the Sr. Application Developer include:
 

Developing and implementing technical solutions as assigned, ensuring, and adhering to all established methodologies, standards, and guidelines. 
Analyze and design documents, program specifications, test plans and results, design, code, testing, debugging, and documentation of those programs while delivering assignments within specified time frames.
Following the SDLC methods and best practices on the team to ensure that quality standards are met.
Participate in internal quality assurance review and post implementation support and system enhancements.
Provide ongoing production support and maintenance of information systems as assigned.
Analyze and correct systems issues in response to user inquiries or problems and investigatory requests.
Contribute in resolving and troubleshooting non-production environmental issues.
Learning new programming languages, frameworks, and Integrated Development Environments (IDEs) to broaden your skills and support project delivery.
Actively participate in Technical Forums to foster a collaborative development community.


 Pay Range
 The typical pay range for this role is:
  Minimum: 60,000
  Maximum: 128,700
 
 Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.
 

Required Qualifications


2+ years Java development experience


 COVID Requirements


COVID-19 Vaccination Requirement
 CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated. 
 
 You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.
 

Preferred Qualifications


3+ years of experience in application development or equivalent technical IT background
Strong problem-solving skills
Ability to create and execute test plans
Understanding of coding best practices and adherence to standards
Strong written and verbal communication skills
A personal drive to deliver results and boldly take on new challenges 
Cloud technology experience (Azure, Kubernetes, AWS, GCP)
Web Services
3+ years of experience with Java (development, design, testing complex programs), Java Build (Dimensions, Maven, Jenkins, Tomcat, CICD Pipeline experience) and Java Frameworks (Spring, Spring Boot, Hibernate, Struts). 
1+ years of experience with one or more of these IDEs: Eclipse, IBM RAD 
3+ years of experience in application development or equivalent technical IT background / education.
Demonstrated capability to learn new programming languages and extend one's knowledge through independent exploration / study
Knowledge of Software Development Life Cycles and development methods.


 Education
 Bachelor's degree in Computer Science required. Will accept High School Diploma / GED with one year of relevant work experience for every year of college not completed in addition to required years of experience.
 

Business Overview
 Bring your heart to CVS Health
  Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.
 
 Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. 
  We strive to promote and sustain a culture of diversity, inclusion and belonging every day. 
  CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.
",https://www.indeed.com/applystart?jk=fdb31189e44deccc&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjaqCcpRy37Cqnvj4xA6yU-kiS-2XS_43VyhyRGICpJaw&astse=fc99e78564819890&assa=406
1,"Associate Developer, IT Applications ADEPT",American Airlines,"Dallas, TX",NaN,2022-10-08,"
Location: DFW Headquarters Building 8 (DFW-SV08) Additional Locations: Phoenix, AZ Requisition ID: 62747



 Intro


 Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!




 Why you'll love this job



 The role is a part of the IT ADEPT team within our Information Technology group with opportunities in Fort Worth, TX and Tempe, AZ.





 What you'll do



 Leverage cutting edge technology to solve business problems in various departments at American Airlines
 Participate in all phases of the development process from inception through transition
 Provide production support and be involved in maintenance and small enhancement work
 Use object oriented development tools to analyze, model, design, construct and test reusable objects. This includes developing applications, which may interface with other systems in an environment committed to Service Oriented Architecture 





 All you'll need for success


 Minimum Qualifications- Education & Prior Job Experience

 Bachelor's degree in Computer Science, Computer Engineering, Technology, Information Systems (CIS/MIS), Data Science or related technical discipline
 Excellent communication & collaborative skills
 Desire to continuously learn

 Skills, Licenses & Certification

 Experience in programming language such as Java, C++, JavaScript, and C#
 Exposure to technologies such as Spring, JSP, SQL, Oracle, Apache, WebSphere or JBoss, JMS, and HTML
 Familiarity in the use of Windows, Linux, or similar
 Knowledge of UML and the principles of Agile software development are desired
 Must be able to work well within a team environment as well as independently
 Strong written and oral communication skills are required.






 What you'll get


 Feel free to take advantage of all that American Airlines has to offer:

 Travel Perks: Ready to explore the world? You, your family and your friends can reach 365 destinations on more than 6,800 daily flights across our global network.
 Health Benefits: On day one, you’ll have access to your health, dental, prescription and vision benefits to help you stay well. And that’s just the start, we also offer virtual doctor visits, flexible spending accounts and more.
 Wellness Programs: We want you to be the best version of yourself – that’s why our wellness programs provide you with all the right tools, resources and support you need.
 401(k) Program: Available upon hire and, depending on the workgroup, employer contributions to your 401(k) program are available after one year.
 Additional Benefits: Other great benefits include our Employee Assistance Program, pet insurance and discounts on hotels, cars, cruises and more





 Feel Free to be yourself at American


 From the team members we hire to the customers we serve, inclusion and diversity are the foundation of the dynamic workforce at American Airlines. Our 20+ Employee Business Resource Groups are focused on connecting our team members to our customers, suppliers, communities and shareholders, helping team members reach their full potential and creating an inclusive work environment to meet and exceed the needs of our diverse world.  Are you ready to feel a tremendous sense of pride and satisfaction as you do your part to keep the largest airline in the world running smoothly as we care for people on life’s journey? Feel free to be yourself at American.



 Additional Locations: Phoenix, AZ Requisition ID: 62747
",https://www.indeed.com/applystart?jk=5ecbe1282b87ab71&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXh2mvRccGxo1jAiFmRaM5t_2Lr7DfU83qy6ilMSvPFMEw&astse=f096c86c7c5079d4&assa=6661
2,2023 University Graduate - Software Engineer,Adobe,"Austin, TX 73301 (St Edwards area)",Estimated $128K - $162K a year,2022-10-13,"Our Company 

 Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen. 

 We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours! 

 The Opportunity 
Adobe is seeking talented and passionate Software Engineer across all organizations to help plan, design, develop, and test software systems or applications for software enhancements and new products used in local, networked, cloud-based or I nternet-related computer programs and products. 

 What Y ou’ll D o 

 Develop high-performance, reliable, testable and maintainable code. 

 Participating in all aspects of software development activities, including design, coding, code review, testing, bug fixing, and code/API documentation. 

 Collaborate with engineers and participate in daily or weekly stand ups and meetings. 

 Grow with the support of your team and help others on the team grow by providing thoughtful feedback and uplifting those around you. 

 Work both independently and collaboratively within a fast-paced development team, with clear, positive, and constructive communication. 

 Additional responsibilities as needed based on specific role or team 
What Y ou N eed to S ucce ed 

 Bachelor's or Master’s in Computer Science, Computer Engineering, Electrical Engineer, or equivalent experience required 

 Proficient in programming languages such as Python, Java, C++ etc. 

 Strong technical background with analytical and problem-solving skills 

 Strong knowled ge in Java or JavaScript and at least one other language like Python, C#, Ruby, PHP. 

 Familiarity with client-side frameworks and libraries like React, Vue, Angular, jQuery. 

 Excellent problem solving and debugging skills, and direct experience with DevOps in a SaaS environment is a plus. 

 Customer focused and have real passion for quality and engineering excellence at scale. 

 Excellent communication and collaboration skills.",https://www.indeed.com/applystart?jk=5da9cda8e441bf76&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXg4LGOF2mvo85m2kpZ5GsM8-BhdrQogdzP3xc9-PmOQTQ&astse=b5cad6361d6c4d55&assa=4807
3,"Front End Engineer, Amazon Cognito",Amazon.com Services LLC,Texas,"$143,700 - $213,800 a year",2022-09-27,"

Experience in Identity Standards like OAuth 2.0, OIDC.
 Experience with user flows like registration, authentication and account recovery.
 Experience working with User Experience Designers and Researchers
 Genuinely excited about technology, have a strong interest in learning about and playing with the latest technologies and building compelling web applications and UI.

 The base pay range for this position is $143,700-213,800/ yr. Pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign-on payment and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. Applicants should apply via Amazon's internal or external careers site.
 
 This information is provided per the Colorado Equal Pay Act, the Pay Transparency Regulation of Jersey City Municipal Code, the New York City Human Rights Law. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.
 
 Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.
",https://www.indeed.com/applystart?jk=8e8cfb9e922af150&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiFUaqlWjD5YtDkE2ax25ggwsdLqiuaGy5Gw05HfKNzLw&astse=3fda0bdf2a4b994d&assa=7024
4,"Software Engineer I - Dallas, TX",Bank of America,"Addison, TX 75001",Estimated $95.2K - $121K a year,2022-09-23,"
Job Description:

 At Bank of America, we focus on providing our clients with innovative, market leading and safe solutions. We do this by leveraging the most advanced Technology tools, linking these to your creativity and skills. You can help Bank of America continue to transform the way customers and clients bank with us. Our teams design, develop platforms and systems supporting our customers, clients and the bank’s employees globally. You’ll be part of an Technology organization who invests Billions of dollars annually in new Technology solutions, is a leading patent creator and values individuals who push themselves and their teams to deliver the best solutions possible for our customers and employees. We have market-leading positions in all our business’s whether supporting individuals, small businesses or large corporates. That success comes directly from the capabilities you and your Technology teammates deliver.

 Job Description:
 Our focus is on providing our clients with innovative, safe and secure solutions by leveraging the most advanced Technology tools coupled with the creativity of our Technology teams. You can help Bank of America continue to transform the way customers and clients bank with us. Our teams design, develop and implement technology applications, platforms and systems to support our customers, clients and the bank’s employees around the world. You’ll be part of an organization whose influence is felt globally, invests Billions of dollars annually in new Technology solutions as we build, grow and manage the critical systems and technology platforms needed to maintain the company’s market-leading positions in all its businesses, including deposits, payment products, consumer lending, wealth management, small business and middle-market lending, treasury services, investment banking, and sales and trading.
  Responsibilities include:

 Codes solutions, unit tests, and ensures the solution can be integrated successfully into the overall application/system with clear, robust and well-tested interfaces.
 Familiar with software development lifecycles, CI/CD toolchains and modern technology architectures
 Contributes to story refinement/defining requirements.
 Participates and guides team in estimating work necessary to realize a story/requirement through the delivery lifecycle.
 Utilizes multiple architectural components (across data, application, business) in design and development of client requirements.
 Assists team with resolving technical complexities involved in realizing story work.
 Contributes to existing test suites (integration, regression, performance).
 Documents and communicates required information for deployment, maintenance, support, and business functionality.
 Participates and contributes in the delivery/release (CI/CD) events. e.g. branching timelines, pull requests, issue triage, merge/conflict resolution, release notes.
 Adhere to team delivery/release process and cadence pertaining to code deployment and release.


 Required skills:

 Good knowledge/training in any contemporary programming language such as Java, Python, JavaScript, HTML/CSS, .Net, Mobile iOS or Android etc.
 Awareness of Object Oriented Programming concepts
 Basic understanding of RDBMS like Oracle, MS SQL Server and Database concepts like Tables, Query/SQL etc.
 Excellent communication and interpersonal skills; Promotes Teamwork and Collaboration
 Analytical thinking and Problem solving mindset
 Open-minded with positive attitude to learn new technology, tools and processes on the job
 Good leadership qualities demonstrated


 Desired Skills:

 Background of working in Software Development Life Cycle (SDLC) methodologies such as Scaled Agile or Lean Agile, any certification in this area is a plus
 Background of working in an Agile team and any certification in this area is a plus


 Job Band: H6
 
 Shift: 1st shift (United States of America)
 
 Hours Per Week: 40
 
 Weekly Schedule:

 Referral Bonus Amount: 0
",https://www.indeed.com/applystart?jk=b9bc9a28523317e6&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjvk7eizPwz6Pf3HJMrppEN-BhdrQogdzP3xc9-PmOQTQ&astse=6e9f40e9c0f6502b&assa=3108
5,Full Stack Engineer - Early Career,LOCKHEED MARTIN CORPORATION,"Fort Worth, TX 76108",NaN,2022-10-06,"
 COVID-19 continues to significantly impact our employees, families and communities. With employee health and safety as our top priority, and as a federal contractor, Lockheed Martin is taking action to address the increased risk and uncertainty COVID-19 variants pose in the workplace and ensuring we meet our commitments to national security.
 
 To uphold safety for all employees, we will continue to request vaccination status for all Lockheed Martin employees including new hires. All current and newly hired employees are required to follow onsite safety measures based upon the COVID-19 Community Level at the specific work location.
 
Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours. 
 
 Lockheed Martin Aeronautics in Fort Worth, Texas is seeking a full-time Early Career Full Stack Engineer. In this role, you will be embedded with a team of full stack developers learning and contributing to the success of a critical F-35 Program. The successful candidate will have experience and/or knowledge of Software Development Lifecycle, Object oriented programming (JAVA preferred) and a strong team first mentality. Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access.
 
Basic Qualifications:


Experience developing object-oriented software in Java



Bachelor's degree from an accredited college in Computer Engineering, Computer Science, Software Engineering, or equivalent experience

 Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access.
 
Desired Skills:


Ability to collaborate effectively in Agile team environment



Experience with the software development lifecycle including requirements analysis, high- level and detailed design, coding, unit-testing, and continuous integration testing



Solid Computer Science fundamentals of data structures, algorithms, and programming patterns



Experience with Java, Python, JavaScript, React, or SQL databases/queries 



Experience with UI/UX design/development

 BASIC QUALIFICATIONS:
 job.Qualifications
 

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
 Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.
 
 As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
 
EXPERIENCE LEVEL:
 4 yr and up College
",https://www.indeed.com/applystart?jk=e3693702b801fc9b&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgqaWY0-MhhGfvOTVYnl14CXAwdulcUk0atwlDdDDqlBQ&astse=764aa7d23424bea0&assa=5349
6,Software Engineer - Early Career,LOCKHEED MARTIN CORPORATION,"Fort Worth, TX 76108",NaN,2022-10-12,"
 COVID-19 continues to significantly impact our employees, families and communities. With employee health and safety as our top priority, and as a federal contractor, Lockheed Martin is taking action to address the increased risk and uncertainty COVID-19 variants pose in the workplace and ensuring we meet our commitments to national security.
 
 To uphold safety for all employees, we will continue to request vaccination status for all Lockheed Martin employees including new hires. All current and newly hired employees are required to follow onsite safety measures based upon the COVID-19 Community Level at the specific work location.
 
Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.
 
 The Skunk Works (Lockheed Martin Advanced Development Program) is looking for world class talent in Software Engineering to be a part of a team that will carry on our 80-year tradition making history in advanced aircraft development.
 
 This position is with the Skunk Works UAS C2 Team in Fort Worth, TX. The team uses a wide application of modern technical principles, theories, and concepts in the software field to develop, integrate, and test systems software products that can be applied to air and ground-based systems for command and control.
 
 The candidate will be responsible for all phases of developing mission control software for various platforms. Candidate responsibilities will span the technology development lifecycle, including requirements generation, software design and implementation, integration, and flight test. Integration activities will include a multitude of host systems, such as live assets, simulated systems, and laboratory environments that include constructive simulations, physical hardware, and system simulations. 
 
 The successful candidate will be part of a high-performing multi-site, multi-program team and must be self-motivated with a strong work ethic, time-management, and interpersonal skills. The successful candidate must have demonstrated effective communication skills as the position will require frequent inter-organizational and outside customer interactions. The ability to travel on occasion for team interaction and integration and test activities is required.
 
 Experience with C++ or Java is required. Experience with XML based open standards, modular open mission systems architectures, Common Software Baseline processes, and Agile processes is highly desired. The successful candidate will need to pass a security screening before interview.
 
 This position is located at a facility that requires special access.
 
Basic Qualifications:


Degree in Computer Science, Software Engineering, Computer Engineering
Proficient using C++ or Lua
Basic Knowledge of Object Oriented coding principles
Experience with Windows or Linux development
Configuration Management Systems (e.g. Git)
Familiar with Agile software development lifecycle
Willing to Travel

 Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access.
 
Desired Skills:


HMI Development Experience
Java Experience
Common Software Baseline Processes
Experience with embedded programming
Experience coding multi-threaded applications
Excellent written and verbal communication skills
Ability to work in a collaborative and team-based environment

 BASIC QUALIFICATIONS:
 job.Qualifications
 

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
 Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.
 
 As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
 
EXPERIENCE LEVEL:
 4 yr and up College
",https://www.indeed.com/applystart?jk=a7a6ae7e3cd72d95&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiWGhtfcz5jxI-ofY9txEvxpsjbKTpre7P5gvPU7rdPPQ&astse=58be91ad1a233a00&assa=1441
7,Software Development Engineer | 2023 SkillSet | Dallas,Goldman Sachs,"Dallas, TX 75201 (Uptown area)",Estimated $85.3K - $108K a year,2022-10-08,"
SOFTWARE ENGINEER | 2023 SKILLSET | DALLAS 

GOLDMAN SACHS ENGINEERING CULTURE 
At Goldman Sachs, our Engineers do not just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets. 
Engineering is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. If you enjoy working in a fast-paced environment, are passionate about producing highly impactful commercial solutions, and collaborating with other driven colleagues, then this is the role for you. 
At Goldman Sachs, our culture is one of teamwork, innovation, and meritocracy. Our people are our greatest asset, and we take pride in supporting each colleague both professionally and personally. 

ABOUT THIS ROLE 
When looking to Goldman for the next steps in your career, let us help you find the right team with only one application. Through our Skillset Recruiting Team, you only apply once to be considered for multiple opportunities. Let us know your preferences, such as job location, team setup, work style, tech stack, domains, etc. After passing the online assessment and interviews, you will be matched to teams aligned with your preferences. 
Please note division and function examples are representative of opportunities common for this skill set. The list is not exhaustive, and availability of open roles is decided based on business needs. Specific roles will be confirmed through the interview process. 

RESPONSIBILITIES 
Software engineers primarily focus on software design and development. This is meant to cover most programming positions in Engineering and include positions that were previously considered business software engineers, platform engineers, and quality assurance engineers. Combine the best open-source software, databases, cloud solutions, and programming languages, to solve problems and provide accurate, complex, scalable applications that help our business and clients gain new insights. 
Collaborate with trading, sales, asset management, banking, finance, and others, to build and automate solutions to keep our firm’s position on the forefront. Or join our core engineering teams, and elevate all our businesses by providing reliable, scalable platforms for data engineering, machine learning, networking, developer tooling, collaboration and more. 

BASIC QUALIFICATIONS 

Bachelor’s degree or relevant work experience in Computer Science, Mathematics, Electrical Engineering, or related technical discipline. 
Excellent object oriented or functional analysis and design skills. 
Knowledge of data structures, algorithms, and designing for performance. 
Excellent written and verbal communication skills. 
Ability to solve problems and apply analysis to make data driven decisions. 
Comfortable multi-tasking, managing multiple stakeholders and working as part of a global team. 
Can apply an entrepreneurial approach and passion to problem solving and product development. 
1+ years of software development experience. 
Proficient programming in a compiled language such as Java, or C++ or an interpreted language such as Python 
Experience with concurrency and memory management. 
Responsive web development, with professional React/Angular/Redux experience and advanced JavaScript proficiency. 
NoSQL databases such as MongoDB and Elastic Search. 


PREFERRED QUALIFICATIONS 

Knowledge or interest in trading technologies in the front-office of a trading organization 
B.S. or M.S. Computer Science or Related field. 


ABOUT GOLDMAN SACHS 
At Goldman Sachs, we commit our people, capital, and ideas to help our clients, shareholders, and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities, and investment management firm. Headquartered in New York, we maintain offices around the world.   We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers .   We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https:// www.goldmansachs.com/careers/footer/disability-statement.html   © The Goldman Sachs Group, Inc., 2021. All rights reserved.  Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity.
",https://www.indeed.com/applystart?jk=2ce3e804e9791f43&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiMqLR-b4SSHdBYi5s_ABiWULY8luZ3vf8Ryj3D5QnPXg&astse=4cefcc8970d56cdb&assa=7517
8,Software Engineering - Java Full Stack Developer,"JPMorgan Chase Bank, N.A.","Plano, TX",NaN,2022-10-10,"As a member of our Software Engineering Group we look first and foremost for people who are passionate solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of innovation, experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally. You will work on solutions that enable our Software Engineers to develop and deliver their code faster with high quality. 

 This role requires a wide variety of strengths and capabilities, including: 

 BS/BA degree or equivalent experience 

 Knowledge in Java, Spring, React & RDBMS 

 Knowledge with Micro service and event architecture 

 Knowledge with testing practices with unit, component , contracts, and end-to-end 

 Knowledge with software development lifecycle using agile and practices like ATDD, BDD and TDD 

 Knowledge on CI/CD tools and principles to develop, review, modify and maintain CI/CD tools/platforms 

 Provide engineering leadership to improve the productivity of Tech teams / members by improving, automating and enabling product capabilities 

 Experience with open source and cloud based technologies 

 Same Posting Description for Internal and External Candidates 

 JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. 

 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. 

 The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment. 

 As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. Employees are expected to follow the Firm's current COVID-19 or other infectious disease health and safety requirements, including local requirements. Requirements include sharing information including your vaccine card in the firm's vaccine record tool, and may include mask wearing. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests as required by applicable law. 

 Equal Opportunity Employer/Disability/Veterans",https://www.indeed.com/applystart?jk=35cbe2362d0d1aa1&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjOQd70g7Q_Uedmd46OFB1A2Lr7DfU83qy6ilMSvPFMEw&astse=ae41a0d8beeb11a0&assa=28
9,Sr. DevOps Engineer - Remote,Softvision - North America,"Remote in Dallas, TX 75201",Estimated $113K - $144K a year,2022-09-22,"
WE ARE A TRANSFORMATIONAL PARTNER
 Cognizant Softvision is a leading software product engineering company, creating impactful end-to-end digital products and solutions that connect brands with customers. Delivering sustainable innovation, agility and a connection that inspires engagement and business transformation, we’ve worked with some of the world’s largest leading brands.
 Cognizant Softvision has more than 5,000 product, design and engineering professionals across a network of global studios in 9 countries and five continents. Learn how Cognizant Softvision designs experiences and engineers outcomes that result in memorable interactions at www.cognizantsoftvision.com or follow us @WeAreSoftvision.
 We are looking for an exceptional Sr. DevOps Engineer - Remote to work with our cross-functional team and join our world-class community of talented experts. Core to this need are expertise in:

 Work within the Developer Experience team to assess, pilot, and implement elegant and efficient developer tooling.
Develop and improve our CI / CD pipelines using various technologies and services such as containerization with Docker, orchestration using Kubernetes, and Cloud Formation for infrastructure automation.
Deploy, Scale & Support Estée Lauder Online infrastructure using AWS (Amazon Web Services).
Ensure site reliability, security and availability, including end-to-end performance, service monitoring, alerting, capacity planning, and optimization of computing resources.
Coordinate across teams to streamline code deployment and troubleshoot production issues.
Manage Access Control for various infrastructure tools, including AWS and various SaaS tools.

 Required Skills:

 Proficient with Kubernetes, Docker and container orchestration.
Experience with Infrastructure as Code ways of working, processes, tooling.
Demonstrable expertise in Linux/Unix Administration and familiarity with RedHat based distribution tooling.
Production software development experience in Python, Ruby, Java, Golang, Javascript, or similar programming languages.
At least 4 years experience in managing cloud infrastructures such as AWS, GCP, and Azure.
Experience with version control and CI / CD and DevOps tools such as Git, Jenkins, Ansible, CircleCI, or Github Actions.
Understanding of full application stacks, such as React, Java, NodeJS.

 We are a thriving Community of top technology talent that is globally connected. We Engage, Make, Run, and Evolve the technology that makes many brands that you know and love. So let’s take this journey together. No matter where you are on your digital career roadmap, we can help you grow and have fun doing it.
 You must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.
 This is a remote position.
",NaN
