,Job Title,Company,Location,Salary,Posted Date,Job Description,Company URL
0,INFORMATION TECHNOLOGY - ENGINEER SOFTWARE 2,PROLIM Corporation,"Huntsville, AL 35805",Estimated $106K - $134K a year,2022-10-07,"JOB TITLE: INFORMATION TECHNOLOGY - ENGINEER SOFTWARE 2LOCATION: HUNTSVILLE - 110 WYNN DR NW (B041)DURATION: 6 MONTHS HRS./WK.: 40.00DAYS: WEEKDAYSSECURITY CLEARANCE: YESLEVEL OF CLEARANCE: SECRETUS CITIZENSHIP REQUIRED? YES
JOB DESCRIPTION: 
Full Stack Web Developer
· Looking for a highly skilled software developer who is comfortable with both front and back-end programming. Full Stack Developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.
· Full Stack Developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.
Responsibilities: 

Developing front end website architecture.


Designing user interactions on web pages.


Developing back-end website applications.


Creating servers and databases for functionality.


Ensuring responsiveness of applications.


Working alongside graphic designers for web design features.


Seeing through a project from conception to finished product.


Designing and developing APIs.


Meeting both technical and consumer needs.


Staying abreast of developments in web applications and programming languages.


Proficiency with fundamental front end languages such as HTML, CSS, and JavaScript.


Familiarity with JavaScript frameworks such as Angular JS, React, and NodeJS.


Proficiency with server-side languages such as Express, Python, Ruby, Java, PHP and .Net.


Familiarity with database technology such as MySQL, Oracle, and MongoDB.


Work in a collaborative Agile development scrum team

Candidate is required to: 

Apply extensive technical expertise and has full knowledge of other related disciplines.


Communicate effectively and clearly present technical approaches and findings.


Develop technical solutions to complex problems which require the regular use of ingenuity and creativity.


Perform work without appreciable direction. Exercise considerable latitude in determining technical objectives of assignment. Completed work is reviewed from a relatively long- term perspective, for desired results.


Represent the organization as the prime technical contact on contracts and projects. Interacts with senior external personnel on significant technical matters often requiring coordination between organizations.

Basic Qualifications: 

2 Years with bachelor’s in science; 1 Years with Masters; 0 Years with PhD


Relevant software development experience


Minimum Secret Clearance

Preferred Qualifications: 
· Experience with MERN stack development
· Experience with Agile development methodology
· Designs, develops, documents, tests and debugs applications software and systems that contain logical and mathematical solutions.
· Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software. Determines computer user needs.
· analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and controls; prepares operating instructions; designs and develops compilers and assemblers, utility programs, and operating systems. Ensures software standards are met.
Job Type: Contract
Schedule:

8 hour shift

Ability to commute/relocate:

Huntsville, AL: Reliably commute or planning to relocate before starting work (Required)

Security clearance:

Secret (Required)

Work Location: One location",NaN
1,ENGINEER SOFTWARE 3,PROLIM Corporation,"Huntsville, AL 35805",Estimated $126K - $159K a year,2022-09-18,"JOB TITLE: INFORMATION TECHNOLOGY - ENGINEER SOFTWARE 3LOCATION: HUNTSVILLE - 110 WYNN DR NW (B041)DURATION: 6 MONTHS HRS./WK.: 40.00DAYS: WEEKDAYSSECURITY CLEARANCE: YESLEVEL OF CLEARANCE: SECRETUS CITIZENSHIP REQUIRED? YES
Job Description: 
Sr Principal Full Stack Web Developer

Looking for a highly skilled software developer who is comfortable with both front and back-end programming. Full Stack Developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.


Full Stack Developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.

Responsibilities: 

Developing front end website architecture.


Designing user interactions on web pages.


Developing back-end website applications.


Creating servers and databases for functionality.


Ensuring responsiveness of applications.


Working alongside graphic designers for web design features.


Seeing through a project from conception to finished product.


Designing and developing APIs.


Meeting both technical and consumer needs.


Staying abreast of developments in web applications and programming languages.


Proficiency with fundamental front end languages such as HTML, CSS, and JavaScript.


Familiarity with JavaScript frameworks such as Angular JS, React, and NodeJS.


Proficiency with server-side languages such as Express, Python, Ruby, Java, PHP and .Net.


Familiarity with database technology such as MySQL, Oracle, and MongoDB.


Work in a collaborative Agile development scrum team

Candidate is required to: 

Apply extensive technical expertise and has full knowledge of other related disciplines.


Communicate effectively and clearly present technical approaches and findings.


Develop technical solutions to complex problems which require the regular use of ingenuity and creativity.


Perform work without appreciable direction. Exercise considerable latitude in determining technical objectives of assignment. Completed work is reviewed from a relatively long- term perspective, for desired results.


Represent the organization as the prime technical contact on contracts and projects. Interacts with senior external personnel on significant technical matters often requiring coordination between organizations.

Basic Qualifications: 

9 Years with bachelor’s in science; 7 Years with Masters; 4 Years with PhD.


Relevant software development experience


Minimum Secret Clearance

Preferred Qualifications: 

Experience with MERN stack development


Experience with Agile development methodology


Designs, develops, documents, tests and debugs applications software and systems that contain logical and mathematical solutions.


Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software.


Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and controls; prepares operating instructions; designs and develops compilers and assemblers, utility programs, and operating systems. Ensures software standards are met.

Job Type: Contract
Schedule:

8 hour shift

Ability to commute/relocate:

Huntsville, AL: Reliably commute or planning to relocate before starting work (Required)

Security clearance:

Secret (Required)

Work Location: One location",NaN
2,Conversational AI chatbot Engineer,Snappyhires,"Phoenix, AZ",$60 - $62 an hour,2022-10-06,"Conversational AI chatbot Engineer Phoenix, AZ(Onsite) 
USC, GC,GC EAD, H4, H4 EAD (W2/ FTE)

3-8 Years of experience building AI-powered chatbots from scratch using AI, ML, and NLP technologies
Must have knowledge of RASA, cognitive service, and other chatbot development platforms like Google Dialog Flow (added adv).
Experience with Nodejs development (MERN stack preferred)
Working knowledge of frontend technologies – HTML, CSS, JavaScript, JSON, and REST APIs
Knowledge and experience in MongoDB or other databases
Sound knowledge of AI/chatbot development landscape, tools, and other frameworks
Hands-on experience working with LSTM and Transformer Networks
Familiar with prod/software development lifecycle, agile development processes and DevOps approaches
In-depth knowledge of conversational designs, flow, and automated speech recognition
Strong experience in developing any deep learning/AI products
Experience in algorithms and conversational AI
Clean coding skills and best practices
Fundamental knowledge and experience in MySQL, MongoDB, or other databases
Strong multi-language background and experience working with programming languages such as Python, Java, Ruby etc
Strong communication skills (verbal and written)

Job Types: Full-time, Contract
Salary: $60.00 - $62.00 per hour
Schedule:

8 hour shift

Ability to commute/relocate:

Phoenix, AZ: Reliably commute or planning to relocate before starting work (Required)

Experience:

REST: 1 year (Preferred)
Java: 1 year (Preferred)

Work Location: One location",NaN
3,Software Engineer,SK hynix,"San Jose, CA 95134 (North San Jose area)",Estimated $105K - $133K a year,2022-10-09,"
 Company Description
  SK Hynix Memory Solutions America Inc. (SKHMS America) provides industry-leading controller hardware, advanced flash management systems, and firmware for NAND and post 2D-NAND based storage solutions spanning Enterprise, Client and Mobile market segments. We are part of the world's top tier semiconductor supplier, SK hynix, offering Dynamic Random Access Memory chips (DRAM), Flash memory chips (NAND Flash) and CMOS Image Sensor (CIS) for a wide range of distinguished customers globally.
 SKHMS America offers you the opportunity to apply your skills to exciting projects while working with innovative teams. Our compensation package is complimented by a generous benefits package including medical, dental, vision, life insurance and a company 401(k) match, as well as cafeteria, onsite gym and much more. If you are motivated by technical challenges, we offer a collaborative work environment that encourages career growth.
",https://www.indeed.com/applystart?jk=6699db9b95e7e9db&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjKQbDouZZj_nIrIoeQ5NGPXAwdulcUk0atwlDdDDqlBQ&astse=7da8895bc6235769&assa=4805
4,Frontend iOS Engineer [REMOTE],Braintrust,"Remote in San Francisco, CA",$20 - $50 an hour,2022-09-23,"

ABOUT US:
 Braintrust is the only network that gives in-demand talent all the freedom of freelance with all the benefits, community and stability of a full-time role. As the first decentralized talent network, our revolutionary Web3 model ensures the community that relies on Braintrust to find work are the same people who own and build it through the blockchain token, BTRST. So unlike other marketplaces that take 20% to 50% of talent earnings, Braintrust allows talent to keep 100% of earnings and to vote on key changes to improve the network. Braintrust is working to change the way freelance works – for good.


 JOB TYPE: Freelance, Contract Position (no agencies/C2C - see notes below)
LOCATION: Remote - United States only - PST/CIST | Partial overlap
HOURLY RANGE: Our client is looking to pay $20 – $50/hr
ESTIMATED DURATION: 40h/week - Short -term

THE OPPORTUNITY
 Must Haves
 Extensive knowledge in Swift, SwiftUI/UIKit, Animations (CoreAnimation, etc.), and Interactive graph visualizations. The developer needs experience integrating with MERN-Stack Rest API backend as well as local packages HealthKit and ARKit. Entrepreneurial mindset is a must.
 About the Project

   Our client is looking for a talented frontend engineer who can work with their designer's Figma mockups to build a fluid and seamless experience. The ideal candidate should have extensive knowledge in Swift and Apple SDKs and has worked with animations and dynamic components.
 


  This project involves working with design (Figma mockups) as well as their back-end (MERN Stack + Apple SDKs) to create a great user experience in Swift. As a data-centric health app, there is a strong emphasis on animations and visualizations (including graph and data views). Their core product involves an eye-tracking test that uses ARKit and VisionKit as well as a sleep engine that uses HealthKit data like steps, motion, and accelerometer running in the background. The Frontend developer role is responsible for bridging these core experiences together in their mobile application.
 


Apply Now!


 ABOUT THE HIRING PROCESS:
 Qualified candidates will be invited to do a screening interview with the Braintrust staff. We will answer your questions about the project, and our platform. If we determine it is the right fit for both parties, we'll invite you to join the platform and create a profile to apply directly for this project.
 C2C Candidates: This role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we'd welcome your application.
 Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.

",https://www.indeed.com/applystart?jk=9d6574c2a2299450&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhq8IfIOiQpPpKl78YxJeqKwsdLqiuaGy5Gw05HfKNzLw&astse=21f3e6efab3ae1cd&assa=852
5,Full Stack Web Developer IV (Hybrid),Panasonic Avionics Corporation,"Hybrid remote in Irvine, CA",Estimated $100K - $127K a year,2022-09-29,"
Our new global headquarters is conveniently located in Irvine, CA near John Wayne Airport in the Park Place development. For our onsite and hybrid employees you will be able to enjoy amenities such as access to many restaurants and shops, running trails, a fitness deck, outdoor seating, dry cleaning, car wash, free garage parking, car charging stations, shuttle service for train commuters, outdoor games like bocce, horseshoes, gaming tables, pickle ball, and basketball. For more information on Park Place visit parkplaceirvine.com.
 Who we are:
 Ever wonder who brings the entertainment to your flights? Panasonic Avionics Corporation is #1 in the industry for delivering inflight products such as movies, games, WiFi, and now Bluetooth headphone connectivity!
 How exciting would it be to be a part of the innovation that goes into creating technology that delights millions of people in an industry that’s here to stay! With our company’s history spanning over 40 years, you will have stability, career growth opportunities, and will work with the brightest minds in the industry. And we are committed to a diverse and inclusive culture that will help our organization thrive! We seek diversity in many areas such as background, culture, gender, ways of thinking, skills and more.

   If you want to learn more about us visit us at www.panasonic.aero. And for a full listing of open job opportunities go to www.panasonic.aero/join-us/.
  

The position:
 Design and develop our next-generation products. You will join a team in developing critical tooling used by internal application developers and 3rd parties to configure and customize their applications to run on our various In-Flight Entertainment systems. As a Full stack Web Developer, you will have ownership over the overall web tool and guide both local and offshore team members focused on either frontend or backend development. This role has specific technical projects or product responsibilities.
  


Designs, modifies, and implements complex software applications from functional and system design specifications.
Codes, integrates, tests, debugs, and refines the software to produce the required product.
Develops software tools and subsystems to support software development, testing, and reuse, and manages implementation for projects requiring extensive investigation and clarification.
Develop automation tests to ensure high software quality for your output.
Enhances software to reduce operating time or improve efficiency and robustness.
Reviews, evaluates, and analyzes design interfaces and specifications.
Prepares, reviews, and evaluates interface documentation, specifications, test plans, and procedures.
Assists in definition, analysis, and allocation of requirements.
Supports system test programs and analyzes system testing results.
Maintains the developed software efficiently through a solid knowledge of software lifecycles.
Documents designs in engineering documents including functional block diagrams and data/logic flow charts.
Provides leadership and/or technical guidance to lower-level engineers, designers, and support personnel as assigned.


 What we’re looking for:


 A Bachelor's degree or equivalent in Computer Science, Information Systems, Engineering, or another related field.
10+ years of related software development experience.
7+ years of full stack web development experience.
6+ years working on web applications hosted in the cloud.
Advanced software programming experience using a MERN Full stack.
Experience with developing in AWS, especially usage of serverless constructs such as AWS Lambda is required.
Embraced version control software (git).
Experience working in a CICD pipeline and creating automation tests.
Ability to resolve complex problems quickly and efficiently. 
Applied scripting techniques (shell scripting, Perl, Python) to improve efficiency.
Demonstrated strong debugging and troubleshooting skills.
Demonstrated ability to manage multiple priorities and make efficient use of given resources such as system lab time and down stream process owners and tasks.
Demonstrated ability to lead multi-function teams to achieve positive results and perform as a technical expert and source of information.
Ability to work in an Agile Software Development process, preferably SCRUM.


 Our Principles: 

 Contribution to Society | Fairness & Honesty | Cooperation & Team Spirit | Untiring Effort for Improvement | Courtesy & Humility | Adaptability | Gratitude
  



What we offer: 

 At Panasonic Avionics Corporation we realize the most important aspects in leading our industry are the bright minds behind everything we do. We are proud to offer our employees a highly competitive, comprehensive and flexible benefits program. 
  
 We offer flexible remote work options depending on your role. Where possible, we offer fully remote or hybrid work opportunities. 
   Paid time off: Exempt Salaried employees receive unlimited PTO. This means that there is no fixed number, range, or limit to the amount of Personal and Vacation Days that may be taken for exempt employees. Non-exempt hourly employees accrue 14 vacation days per year + 7 sick days + 3 personal days. Accrual rate increases with tenure. All employees receive 11 company paid holidays per year. We also close our offices at the corporate level in the U.S. between Christmas and New Year. For operational positions that are expected to work on holidays, we provide additional compensation for hours worked. 
   Health Insurance: Medical insurance offerings from Aetna and Kaiser (CA &HI). Options for Employee Only, Employee + Spouse/Domestic Partner, Employee + Children, or Family. Dental PPO and DMO options & Vision insurance through EyeMed or VSP. 
   401K with 50% match on up to 8% contribution, full vested from day 1 
   Other offerings include: Wellness Program, Counseling services, FSA & HSA, Life Insurance for employee, spouse and child, AD&D Insurance, Long-term and Short-term disability, Critical Illness Insurance, Accident Insurance, Legal Assistance, Pet Insurance, Identity Theft Protection, Dependent Care FLSA, Education Assistance, Commuter Program, Employee Purchase Program, Service Award Program. 
   All applicants are subject to Company policies, third party customer and worksite requirements, and government requirements, regarding vaccination and/or testing for COVID-19. Where permitted by applicable law, applicants may be required to be fully vaccinated with an authorized COVID-19 vaccine as a condition of employment, unless they are eligible for and obtain an exemption based on a reasonable accommodation because of a disability or a sincerely held religious belief, practice, or observance. While the Company strongly encourages COVID-19 vaccinations, it may require vaccination and/or testing for positions in which third party customer, worksite, or government requirements apply, in accordance with applicable law. At those locations where requirements apply, exemptions will be considered based on applicable law. 
  
 Panasonic is proud to be an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, national origin, disability status, protected veteran status, and any other characteristic protected by law or company policy. All qualified individuals are required to perform the essential functions of the job with or without reasonable accommodation. Pre-employment drug testing is required for safety sensitive positions or as may otherwise be required by contract or law. Due to the high volume of responses, we will only be able to respond to candidates of interest. All candidates must have valid authorization to work in the U.S. Thank you for your interest in Panasonic Avionics Corporation. 
  
 #LI-AE1
   #LI-Hybrid
 
",https://www.indeed.com/applystart?jk=d8b79cbbe33c1a92&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXg5RNjnT-WEdb_uoIYM_xTTMIfcMu539kP3i1FMxIq2rA&astse=d51d4ca901e712df&assa=6808
6,Senior Database Engineer,"Moving Analytics, Inc","Hybrid remote in Irvine, CA 92606","$130,000 - $180,000 a year",2022-10-04,"Job description
Summary
Moving Analytics is looking for an experienced Backend Developer (Database) to join our engineering team! As a Back-end Developer (Database), you will be responsible for the server-side web application logic and integration with existing and new front-end systems. As part of this role, you will be responsible for creating, designing and utilizing best-in-class software and services that serve patients with heart disease and enable them to get access to the life-saving benefits of cardiac rehab.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information.
About Moving Analytics
Moving Analytics provides Movn - a digital cardiac rehabilitation service to help patients recover after a heart attack or heart surgery. The goal of the program is to help patients reduce their risk of getting a future cardiac event by empowering them to manage their risk factors including exercise, nutrition, smoking, blood pressure, weight, medication and stress.
Our mission is to conquer heart disease as the leading cause of death through digital prevention programs that serve over 1M people annually. We are clinicians, designers, engineers and entrepreneurs leveraging design, research and technology to improve patient engagement and care coordination. Our mission is to conquer cardiovascular disease as the leading cause of death, through programs that leverage science, technology and design to empower people to improve their health and quality of life.
Backend engineer duties and responsibilities

Design SQL and Mongo DB database schemas
Maintain databases to handle company workload with high performance
Implement efficient APIs to interact with SQL and Azure Cosmos DB (Mongo DB)
Build new NodeJS server APIs for front-end developers to use
Maintain different engineering environments (development, sandbox, productions)
Participate in brainstorming sessions and contribute ideas to our technology, algorithms and products
Maintain Server Docker Setups
Help improve our code quality through writing unit tests, automation and performing code reviews

Minimal requirements and qualifications

In-depth understanding of web server development
3 years of industry experience with SQL & non-SQL databases
2 years of experience with Unix/Linux system
At least 1-year experience working with NodeJS, JSON, Python
Proficient understanding of code versioning tools, such as Git

Bonus requirements

Familiar with full-stack development (MEAN or MERN stack)
BS (or higher) in Computer Science or related technical field involving coding or equivalent technical experience
Familiar with industry security practices
Familiar with Microsoft Azure

Position details: 
Full time
Location: Irvine, CA, (3 days per week on site required)
Salary: $130k – $180k
Benefits

401(k)
Medical insurance
Dental insurance
Vision insurance
Supplemental life insurance
Commuter benefits
Flexible work hours
Free-to-use and fully equipped fitness center
Dog-friendly office, with two available dog parks
Outdoor meeting areas, including power, Wi-Fi, Bluetooth, whiteboards, and sufficient seating
Free bike rental and storage
Free snacks
Coffee shop downstairs
Up to two days of remote work each week
Covered expenses at approved conferences
Reimbursement for professional education expenses
Employer contribution towards fitness membership with ClassPass
Free membership to Kindbody, which provides full-service fertility care, gynecology, mental health, and nutrition coaching
Free membership to Health Advocate, which provides experts that make healthcare easier to navigate
Find the right doctors, hospitals, and specialists anywhere in the country
Resolve insurance claims, negotiate bills, and coordinate benefits
Balance personal and work/life demands with EAP Care Managers
Free membership to One Medical, which provides on-demand primary care
Same-day or next-day appointments
Longer visits that start on time
Always on-call 24/7 virtual care
Free membership to Teladoc, which provides virtual health (the doctor's office comes to you)
Meet with a doctor or specialist by phone or video
Address mental health concerns with a therapist or psychiatrist
Insurance is accepted just like when you see the doctor in-person
Free membership to Talk space, which provides online mental health therapy, giving you the ability to connect with a therapist from the palm of your hand
1 live video visit each month + unlimited messages between visits
Access to thousands of licensed therapists 24/7
Seamlessly switch therapists, at no extra cost

Job Type: Full-time
Pay: $130,000.00 - $180,000.00 per year
Benefits:

401(k) matching
Health insurance

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Irvine, CA 92606: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 5 years (Required)

Work Location: Hybrid remote in Irvine, CA 92606",NaN
7,"IC Senior_SSE_Java_Angular_Cloud_Atlanta, GA",Merkle,"Atlanta, GA 30309 (Midtown area)",Estimated $107K - $135K a year,2022-10-13,"

Company Description: 

Ugam, a Merkle company, is a leading analytics and technology services company. Our customer-centric approach delivers impactful business results for large corporations by leveraging data, technology, and expertise. We consistently deliver superior, impactful results through the right blend of human intelligence and AI. With 4600+ people spread across locations worldwide, we successfully deploy our services to create success stories across industries like Retail & Consumer Brands, High Tech, BFSI, Distribution, and Market Research & Consulting. Over the past 21 years, Ugam has been recognized by several firms including Forrester and Gartner, named the No.1 data science company in India by Analytics Insight, and certified as a Great Place to Work®.  The name Ugam comes from the ancient Sanskrit language and means “source” or “origin.” Ugam seeks to be the source of solutions for the complex problems of retailers, brands and market research firms worldwide. The name signifies the company’s position as a pioneer in the market for data and analytics, and the source of relevant actionable insights for clients.



Job Description: 

Ugam, a Merkle company and part of Dentsu, is looking for Sr. Software Engineer (Java, MERN)
 This role is catering to development needs across various technologies for a large US based client. This role requires a full stack development with a significant experience in MERN stack with an emphasis on React and Node. Experience in working with any of the cloud platforms like AWS or GCP is required. Experience in JAVA is a must
 Role: Senior Software Engineer (Advanced Analytics)
 Key Responsibilities:

 Knowledge of multiple front-end languages and libraries (HTML/CSS, JavaScript, Angular JS or React JS, jQuery)
 Knowledge of multiple back-end languages (Java and Spring boot) and JavaScript frameworks (e.g. Angular JS or React Js)
 Should have in-depth knowledge on REST API development.
 Proven experience in developing micro services using spring boot.
 Clearly understand the client needs and clarify effectively to minimize risk of over / under scoping and ensure the final output meets exactly what was desired
 Provide technical solutions and designs (Data flow’s, Schema’s, Pseudo Codes, Functional Designs) and justify empirically / factually why your choice fits the need of the business in constant of timelines and resource capabilities
 Delivery high quality software code with Unit tests or self-certified test results and make sure if passes client QA without lot of reworks, to maintain Ugam’s position of high quality first time.
 Clearly communicate requirements to offsite teams, QA outputs provide constructive feedback and ensure customer feels the velocity they expect from all team members




Qualifications: 

Qualification:

 BE / B. Tech/Master’s in Computer science/Information Technology
 (ideal) Master of Science in Statistics, Business Analytics, Data Science, Computer Science, Information Technology, and related fields

 Certifications Java, MEAN stack (preferred)
 Experience:

 Total of 5 to 7 years of experience working as a programmer
 Recent 3 years as a Java full stack developer with hands on experience in MEAN/MERN stack
 Technical and functional understanding of web applications

 Skills:

 Software engineer with strong experience with JS, AngularJS, HTML5, CSS.
 Coding experience in JAVA
 Understanding of web services technologies such as REST, AJAX and HTTP
 Experience in Big Data and Cloud technologies (Hadoop/HBase/Cassandra)
 Experience of working in cloud environments such AWS or Google Cloud
 Experience in working for Retail domain is a nice to have skill

 Behavioral:

 High engagement skills, led by good communication & listening skills
 Curious minded and detail oriented
 Must be pro-active and determined (Initiates action, Analytical and problem solver)
 Must be able to work with tight deadlines in a fast-paced environment




Additional Information: 

All your information will be kept confidential according to EEO guidelines.

 About dentsu international
 Part of Dentsu Group, Dentsu International is a network designed for what’s next, helping clients predict and plan for disruptive future opportunities and create new paths to growth in the sustainable economy. Dentsu delivers people-focused solutions and services to drive better business and societal outcomes. This is delivered through five global leadership brands - Carat, Dentsu Creative, dentsu X, iProspect and Merkle, each with deep specialisms.
 Dentsu International’s radically collaborative team of diverse creators unifies people, clients and capabilities through horizontal creativity to help clients create culture, change society, and invent the future.
 Powered by 100% renewable energy, Dentsu International operates in over 145 markets worldwide with more than 46,000 dedicated specialists, and partners with 95 of the top 100 global advertisers. www.dentsu.com
 We are champions for meaningful progress and we strive to be a force for good—for our people, for our clients, for the industry and for our society. We keep our people at the center, creating space for growth, understanding and learning so they can thrive. We embed diversity, in our mindset, in our solutions and in our teams to empower an inclusive, equitable and culturally fluent environment. Building this culture within our teams makes us better collaborators with each other and with our clients, driving better outcomes for all.
 Dentsu (the ""Company"") is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee of the Company, on the basis of age, sex, sexual orientation, race, color, creed, religion, ethnicity, national origin, alienage or citizenship, disability, marital status, veteran or military status, genetic information, or any other legally-recognized protected basis under federal, state or local laws, regulations or ordinances. Applicants with disabilities may be entitled to reasonable accommodation under the terms of the Americans with Disabilities Act and/or certain state or local laws. A reasonable accommodation is a change in the way things are normally done that will ensure an equal employment opportunity without imposing an undue hardship on the Company. Please contact dentsurecruiting@dentsu.com if you need assistance completing any forms or to otherwise participate in the application process or to request or discuss an accommodation in connection with a job at the Company to which you are applying.


",https://www.indeed.com/applystart?jk=cafe9901570bf4a8&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhgZA0zvWUNiRGn4zC52snYl8EZNoFLzyHkpvcd7-Y9bg&astse=638ae91330931954&assa=1299
8,"IC Senior_SSE_Java_Angular_Cloud_Atlanta, GA",Ugam,"Atlanta, GA",Estimated $113K - $143K a year,2022-10-12,"
 Company Description
  Ugam, a Merkle company, is a leading analytics and technology services company. Our customer-centric approach delivers impactful business results for large corporations by leveraging data, technology, and expertise. We consistently deliver superior, impactful results through the right blend of human intelligence and AI. With 4600+ people spread across locations worldwide, we successfully deploy our services to create success stories across industries like Retail & Consumer Brands, High Tech, BFSI, Distribution, and Market Research & Consulting. Over the past 21 years, Ugam has been recognized by several firms including Forrester and Gartner, named the No.1 data science company in India by Analytics Insight, and certified as a Great Place to Work®.  The name Ugam comes from the ancient Sanskrit language and means “source” or “origin.” Ugam seeks to be the source of solutions for the complex problems of retailers, brands and market research firms worldwide. The name signifies the company’s position as a pioneer in the market for data and analytics, and the source of relevant actionable insights for clients.
",NaN
9,Application Solution Architect,Tek Ninjas,"Chicago, IL 60602 (Loop area)",Estimated $127K - $160K a year,2022-09-27,"About the products they will be developing - exclusively web development for different capabilities, majority would be customer facing (want to schedule a covid test, that whole user experience from putting in your address, identifying stores, time slots, processing etc). Also has a more internal component that the pharmacists, admins can manage different aspects of the appts.
Candidates should have web software engineering experience (custom, not prepackaged software)To support Digital FindCare and/or Health-Testing as a principal engineer (aka technical application architect)
TOP Technical Skills: 

MERN stack development experience using ReactJS, Redux, NodeJS, ExpressJS, MongoDB with expertise in JavaScript/TypeScript
Experience in Restful web services using NodeJS ExpressJS
Experience in NoSQL databases, such as CosmosDB and MongoDB

Background Needed: 

Hands on software engineering experience in web applications using the MERN stack, cloud (any type); agile
Security software systems with technologies such as OAuth, SAML, JWT, etc.
Understanding of the role of cryptography in securing confidential data

Education/Certifications: degree in computer science but relevant experience could suffice
Required Skills: * MERN stack development experience using ReactJS, Redux, NodeJS, ExpressJS, MongoDB with expertise in JavaScript/TypeScript * Experience in Restful web services using NodeJS ExpressJS * Experience in NoSQL databases, such as CosmosDB and MongoDBBasic Qualification: Additional Skills: Background Check: YesDrug Screen: YesNotes:Selling points for candidate:Project Verification Info:Candidate must be your W2 Employee: NoExclusive to Apex: NoFace to face interview required: NoCandidate must be local: NoCandidate must be authorized to work without sponsorship: NoInterview times set:: NoType of project: Development/EngineeringMaster Job Title: VMS Access EntryBranch Code: Chicago
Job Type: Full-time",https://www.indeed.com/applystart?jk=1d7b446d950e3d76&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiRCmyakwXAPQA_MsqKNRr7-BhdrQogdzP3xc9-PmOQTQ&astse=6710133674ad9646&assa=4845
